"time" "CAG" "ADM" "MNST" "WMT" "CVS" "GIS" "WFM" "HRL" "SLB" "WMB" "MUR" "DVN" "EOG" "CXO" "EQT" "HP" "SWN" "PXD" "CME" "MS" "HRB" "XL" "BBT" "PFG" "MMC" "EXR" "SPGI" "C" "ILMN" "UHS" "HUM" "CERN" "ABC" "EW" "ABT" "XRAY" "ISRG" "LLL" "TDG" "GWW" "UTX" "LEG" "DAL" "LMT" "WM" "PBI" "KSU" "FISV" "GPN" "PAYX" "RHT" "EA" "MSFT" "KLAC" "QCOM" "FCX" "ECL" "MON" "MOS" "CF" "PPG" "DD" "OI" "APD" "IFF" "VZ" "T" "LVLT" "CTL" "FTR" "ES" "ED" "EIX" "ETR" "EXC" "DTE" "AEE" "SCG"
2003-01-02 25.63 12.52 4.25 51.599998 25.41 47.650002 53.939999 23.57 43.099998 2.819989 44.089994 47.5 41.16 NA 35.349998 28.66 11.75 26.110001 43.720002 41.939999 41.25 80.230003 37.990002 30.58 47.59 NA 62.130001 36.350001 3.28 46.549999 10.31 32.049999 57.630001 25.58 40.049938 37.48 6.1 46.27 NA 53.110001 63.41 23.08 NA 58.849998 23.629999 33.299999 12.4 35.630001 31.75 28.92 6 52.220001 53.720001 37.360001 37.139999 17.450001 50.049999 19.35 10.78 NA 51.68 43.439997 14.8 42.549999 35.779999 40.170077 28.91 4.86 30.309999 10.72 15.49 43.25 12.71 46.700001 53.790001 46.98 42.279999 31.360001
2003-01-03 25.84 12.6 4.31 50 25.889999 47.5 53.880001 23.6 42.799999 2.739996 43.229993 47.799999 40.900002 NA 35.48 28.219999 11.75 25.940001 45.799999 41.860001 41.169998 80.699997 37.900002 30.4 47.450001 NA 61.450001 36.110001 3.25 45.950001 10.4 34.52 58.5 25.6 40.439939 37.299999 6.1 47.029999 NA 52.700001 64.410004 22.66 NA 58.709999 23.809999 33.349998 12.35 35.09 31.639999 29.030001 6.1 54.549999 53.790001 39 35.700001 17.610001 49.900002 19.280001 10.65 NA 51.619999 43.659997 14.97 42.489999 35.799999 40.45008 28.879999 4.7 30.16 10.5 15.7 43.84 12.44 46.73 53.93 46.970001 42.860001 31.690001
2003-01-06 26.249998 12.62 4.31 50.189999 25.620001 47.52 52.580002 23.790001 42.400002 2.709991 43.530006 48.380001 40.700001 NA 35.98 27.27 12.2 25.870001 48.099999 42.990002 43.049999 82.970001 38.630001 30.719999 48.82 NA 61.619999 37.310001 3.32 46.509998 10.32 36.470001 59.200001 25.41 40.699939 37.41 6.1 47.900002 NA 52.740002 65 22.75 NA 58.5 23.76 34.119999 12.6 35.849998 31.77 29.98 6.15 51.990002 54.77 40.84 37.369999 17.6 50.889999 19.77 10.94 NA 52.459999 44.709996 14.91 43.989999 36.57 44.070085 31.190001 4.88 31.08 11.33 16.059999 45.990002 13 48.369999 55.189999 49.279999 44.689999 32.529999
2003-01-07 25.909999 12.44 4.3 50.459999 24.969999 46.790001 50.860001 23.290001 40.700001 2.979998 41.549991 45.349998 38.75 NA 35.619999 26.5 11.78 24.559999 48.02 43.220001 41.68 82.510002 38.360001 30 48.73 NA 60.5 36.979999 3.4 45.619999 10.31 38.450001 57.68 25.190001 38.869944 36.209999 5.96 46.830002 NA 52.16 63.630001 22.52 NA 56 23.59 33.470001 12.6 35.18 31.67 29.450001 6.02 48.93 55.799999 40.459999 37.259998 17.07 51.380001 19.5 10.74 NA 52.099998 44.580002 14.25 43.849999 36 43.620086 30.280001 4.94 31.040001 11.25 15.61 44.599998 12.59 47.450001 53.459999 47.93 43.150002 31.969999
2003-01-08 25.699999 12.35 4.3 49.990002 24.950001 46.490002 50.630001 23.27 41.099998 3.139995 41.559996 45.139999 38.630001 NA 35.450001 25.969999 11.57 24.110001 48.010001 41.919998 41.5 81.470001 38.049999 29.280001 47.84 NA 59.84 36.69 3.45 45.220001 10.4 36.450001 55.57 25.549999 39.849941 35.84 5.79 46.759998 NA 51.279999 63.25 22.299999 NA 55.450001 23.67 33.25 12.25 34.169998 31 28.469999 6.03 49.43 54.240002 39.380001 36.619999 16.629999 50.919998 19.200001 10.6 NA 51.119999 43.580001 14.7 42.529999 35.700001 40.910081 28.780001 4.7 30.82 11.28 15.44 44.360001 13.3 47.970001 53.82 48.16 43.23 31.82
2003-01-09 26.16 12.51 4.31 51.919998 25.43 47.009998 51.470001 23.389999 41.84 3.199993 41.909988 45.849998 39.290001 NA 36.130001 26.379999 11.55 24.709999 49.050002 43.619999 40.799999 83.419998 38.560001 30.75 48.18 NA 61.389999 37.029999 3.95 45.849998 10.56 37.419998 54.860001 25.370001 39.979942 36.73 5.85 45.689999 NA 52.330002 64.940002 22.700001 NA 55.169998 23.75 33.759998 12.45 34.639999 30.85 29.059999 6.17 50.77 55.810001 40.459999 38.68 17 51.5 19 11.15 NA 52.189999 44.29 14.51 43.81 36.299999 40.460082 29.07 4.92 31.17 11.4 15.37 44.02 12.8 47.869999 53.849998 46.810001 42.27 32.220001
2003-01-10 25.779998 12.4 4.3 51.619999 25.309999 47.25 50.860001 23.030001 41.77 3.369987 41.099993 45.130001 38.919998 NA 35.98 26.41 11.46 24.4 48.990002 43.419998 40.75 83.550003 38.25 30.700001 48.220001 NA 60.419998 37.460001 3.68 44.700001 10.29 37.860001 54.240002 25.48 39.77994 36.75 6.02 46.43 NA 51.849998 64.32 22.5 NA 56.990002 23.959999 33.549999 12.45 35.599998 31.35 28.870001 6.35 51.880001 55.919998 41.41 38.450001 17.889999 51.16 19.040001 11.18 NA 52.650002 44.029999 14.91 43.439998 36.32 40.14008 28.799999 5 31.17 11.12 15.27 43.869999 13.25 47.610001 53.360001 46.23 41.990002 32.09
2003-01-13 26.049999 12.76 4.36 51.279999 25.41 47.98 49.880001 23.25 41.240002 3.20999 40.829991 44.650002 38.73 NA 35.889999 25.41 11.66 24.200001 49.619999 43.599998 41 82.5 38.049999 30.66 48.599998 NA 59.810001 37.04 3.72 44.330002 10.22 36.549999 55.119999 25.549999 39.42994 36.5 5.84 46 NA 51.240002 64.139999 22.200001 NA 55.27 23.76 33.490002 12.46 35.509998 31.35 28.18 6.39 49.950001 56.389999 40.450001 38.700001 17.299999 50.82 19 11.27 NA 52.099998 43.729999 15.5 43.8 35.560001 40.650078 28.76 5.33 31.5 11.07 15.11 42.450001 12.92 47.959999 53.869999 45.540001 41.150002 31.34
2003-01-14 26.089998 12.61 4.31 51.41 25.59 48 49.700001 23.27 40.869999 3.379997 41.149993 45.439999 38.93 NA 36.200001 25.35 11.8 24.049999 49.099998 43.810001 40.970001 83 38.299999 30.799999 49.5 NA 59.5 37.929999 3.65 44.349998 10.25 36.849998 54.610001 25.559999 39.059943 36.709999 5.97 46.150002 NA 51.470001 64.309998 22.33 NA 55 24.110001 33.75 12.55 35.360001 31.219999 28.16 6.38 50.080002 56.970001 39.650002 39.32 16.98 50.810001 18.610001 11.27 NA 52.290001 43.999997 15.04 43.879999 35.150002 41.180081 29.610001 5.31 31.58 10.98 14.75 42.02 13.12 48.040001 54.849998 46.389999 40.700001 31.290001
2003-01-15 25.569999 12.44 4.3 50.59 25.110001 47.91 49.040001 22.889999 41.299999 3.479997 41.030003 46.450001 39.59 NA 36.490002 26.42 12.35 25.01 47.049999 43.099998 41.18 82.400002 37.259998 30.4 47.950001 NA 57.959999 37.450001 3.4 44.049999 10.3 35.66 54.150002 26 37.949942 36.369999 5.79 45.099998 NA 50.299999 64.400002 21.940001 NA 53.799999 23.98 33.799999 12.5 33.91 30.57 27.530001 6.28 50.560001 56.27 38.450001 38.369999 17 50.110001 18.290001 11.14 NA 51.849998 42.499999 15.1 43.01 34.779999 40.190077 28.540001 5.26 31.379999 10.94 14.7 41.16 13.03 47.900002 54.889999 46.099998 41.349998 31.790001
